City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
351,Mahendranagar,NP,28.92,80.33,78.69,91,100,3.06,heavy intensity rain
352,Balsas,BR,-7.53,-46.04,83.23,31,99,5.66,overcast clouds
353,San Cristobal,VE,7.77,-72.22,67.37,93,100,1.68,light rain
354,Santa Rosa,PH,14.31,121.11,88.0,74,95,5.82,light rain
355,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,59.0,72,40,15.66,scattered clouds
356,Te Anau,NZ,-45.42,167.72,51.8,85,85,1.43,overcast clouds
357,Hazorasp,UZ,41.32,61.07,60.8,77,0,2.24,clear sky
358,Ocampo,MX,21.65,-101.5,59.94,80,100,10.87,light rain
359,Uusikaupunki,FI,60.8,21.41,62.6,100,75,5.82,mist
360,Buala,SB,-8.14,159.59,85.39,68,62,4.83,light rain
